page	file	precision	marker_line	also_spans
1	00-front-matter/00-cover-and-legal.md	exact	1	
2	00-front-matter/00-cover-and-legal.md	exact	11	00-front-matter/01-contents.md
3	00-front-matter/00-cover-and-legal.md	inferred	11	00-front-matter/01-contents.md
4	00-front-matter/00-cover-and-legal.md	inferred	11	00-front-matter/01-contents.md
5	00-front-matter/00-cover-and-legal.md	inferred	11	00-front-matter/01-contents.md
6	00-front-matter/00-cover-and-legal.md	inferred	11	00-front-matter/01-contents.md
7	00-front-matter/00-cover-and-legal.md	inferred	11	00-front-matter/01-contents.md
8	00-front-matter/00-cover-and-legal.md	inferred	11	00-front-matter/01-contents.md
9	00-front-matter/00-cover-and-legal.md	inferred	11	00-front-matter/01-contents.md
10	00-front-matter/00-cover-and-legal.md	inferred	11	00-front-matter/01-contents.md
11	00-front-matter/00-cover-and-legal.md	inferred	11	00-front-matter/01-contents.md
12	00-front-matter/00-cover-and-legal.md	inferred	11	00-front-matter/01-contents.md
13	00-front-matter/00-cover-and-legal.md	inferred	11	00-front-matter/01-contents.md
14	00-front-matter/00-cover-and-legal.md	inferred	11	00-front-matter/01-contents.md
15	00-front-matter/02-list-of-figures.md	exact	497	
16	00-front-matter/03-list-of-tables.md	exact	509	
17	00-front-matter/03-list-of-tables.md	exact	555	
18	00-front-matter/03-list-of-tables.md	exact	600	
19	00-front-matter/03-list-of-tables.md	exact	645	
20	00-front-matter/03-list-of-tables.md	exact	690	
21	00-front-matter/03-list-of-tables.md	exact	735	
22	00-front-matter/03-list-of-tables.md	exact	780	
23	00-front-matter/03-list-of-tables.md	exact	825	
24	00-front-matter/03-list-of-tables.md	exact	870	
25	00-front-matter/03-list-of-tables.md	exact	915	
26	00-front-matter/03-list-of-tables.md	exact	960	
27	00-front-matter/03-list-of-tables.md	exact	1005	
28	00-front-matter/03-list-of-tables.md	exact	1050	
29	00-front-matter/03-list-of-tables.md	exact	1095	
30	00-front-matter/03-list-of-tables.md	exact	1140	
31	00-front-matter/03-list-of-tables.md	exact	1185	
32	00-front-matter/03-list-of-tables.md	exact	1230	
33	00-front-matter/03-list-of-tables.md	exact	1275	
34	00-front-matter/03-list-of-tables.md	exact	1320	
35	00-front-matter/03-list-of-tables.md	exact	1365	
36	00-front-matter/04-about-this-document.md	exact	1389	
37	00-front-matter/04-about-this-document.md	inferred	1389	
38	00-front-matter/04-about-this-document.md	inferred	1389	
39	00-front-matter/04-about-this-document.md	inferred	1389	
40	00-front-matter/04-about-this-document.md	inferred	1389	
41	00-front-matter/04-about-this-document.md	inferred	1389	
42	00-front-matter/04-about-this-document.md	inferred	1389	
43	01-introduction/01-introduction.md	exact	1454	
