kind	number	caption	file	page	source_line
Figure	1	YANG Model Hierarchy Diagram	01-introduction/01-introduction.md	45	1480
Figure	2	1830 GX G31 Chassis, components and interfaces	01-introduction/01-introduction.md	46	1507
Figure	3	1830 GX G32 Chassis, components and interfaces	01-introduction/01-introduction.md	46	1533
Figure	4	1830 GX G34c Chassis, components and interfaces	01-introduction/01-introduction.md	46	1559
Figure	5	1830 GX G31 chassis - Location of the Eth1 port	02-using-the-cli/02-using-the-cli.md	64	1900
Figure	6	1830 GX G32 chassis - Location of the Eth1 port	02-using-the-cli/02-using-the-cli.md	64	1904
Figure	8	Showing Spectrum Power	06-operation-commands/312-status.md	1184	24102
Table	1	Structure of the document	00-front-matter/04-about-this-document.md	36	1403
Table	2	List of Symbols and Conventions	00-front-matter/04-about-this-document.md	36	1420
Table	3	History of changes	00-front-matter/04-about-this-document.md	36	1440
Table	4	YANG object representation in CLI	01-introduction/01-introduction.md	46	1493
Table	5	1830 GX G31 Equipment AID Formats	01-introduction/01-introduction.md	46	1513
Table	6	1830 GX G32 Equipment AID Formats	01-introduction/01-introduction.md	46	1539
Table	7	1830 GX G34c Equipment AID Formats	01-introduction/01-introduction.md	46	1565
Table	8	1830 GX G42 Equipment Entity ID Formats	01-introduction/01-introduction.md	52	1588
Table	9	1830 GX G42 Termination Point Entity ID Formats	01-introduction/01-introduction.md	52	1608
Table	10	1830 GX G31/1830 GX G32 Chassis MO relationship	01-introduction/01-introduction.md	52	1643
Table	11	1830 GX G34c Chassis MO relationship	01-introduction/01-introduction.md	52	1660
Table	12	1830 GX G31/1830 GX G32 chassis Field Replaceable Units (FRUs) provisioning behavior	01-introduction/01-introduction.md	56	1674
Table	13	1830 GX G34c chassis Field Replaceable Units (FRUs) provisioning behavior	01-introduction/01-introduction.md	56	1689
Table	14	Built-in Data Types	01-introduction/01-introduction.md	56	1705
Table	15	Accessing and Exiting Command Modes	01-introduction/01-introduction.md	56	1726
Table	16	CLI configuration attributes	02-using-the-cli/02-using-the-cli.md	67	2021
Table	17	CLI Command Line Cursor Movement	02-using-the-cli/02-using-the-cli.md	68	2041
Table	18	Standard keyboard operations	02-using-the-cli/02-using-the-cli.md	68	2053
Table	19	CLI Input Command Format	02-using-the-cli/02-using-the-cli.md	71	2103
Table	20	CLI Syntax Conventions and Notations	02-using-the-cli/02-using-the-cli.md	72	2123
Table	21	CLI Command Line Shortcuts	02-using-the-cli/02-using-the-cli.md	72	2138
Table	22	Characters usage in strings	02-using-the-cli/02-using-the-cli.md	73	2173
Table	23	Visualization types	02-using-the-cli/02-using-the-cli.md	76	2251
Table	24	Help Information Types	02-using-the-cli/02-using-the-cli.md	76	2283
Table	25	Help command - Types of Information	02-using-the-cli/02-using-the-cli.md	82	2566
Table	26	CLI wilcard usage	02-using-the-cli/02-using-the-cli.md	84	2610
Table	27	Object Filtering	02-using-the-cli/02-using-the-cli.md	85	2627
Table	28	CLI help and auxiliary commands	02-using-the-cli/02-using-the-cli.md	85	2647
Table	29	CLI navigation and display commands	02-using-the-cli/02-using-the-cli.md	86	2666
Table	30	CLI piped commands	02-using-the-cli/02-using-the-cli.md	86	2689
Table	31	CLI operation commands	02-using-the-cli/02-using-the-cli.md	87	2722
Table	32	Default User Groups	02-using-the-cli/02-using-the-cli.md	89	2816
Table	33	Data Model Configuration Access	02-using-the-cli/02-using-the-cli.md	90	2838
Table	34	CLI Command Execution Access	02-using-the-cli/02-using-the-cli.md	90	2915
Table	35	Help additional commands	03-auxiliary-and-help-commands/03-auxiliary-and-help-commands.md	95	2995
Table	36	Help additional commands	03-auxiliary-and-help-commands/03-auxiliary-and-help-commands.md	95	3011
Table	37	alias Command Usage	04-navigation-and-display-commands/04-navigation-and-display-commands.md	98	3069
Table	38	alias command parameters	04-navigation-and-display-commands/04-navigation-and-display-commands.md	98	3077
Table	39	edit Command Usage	04-navigation-and-display-commands/04-navigation-and-display-commands.md	99	3134
Table	40	edit command parameters	04-navigation-and-display-commands/04-navigation-and-display-commands.md	100	3145
Table	41	history Command Usage	04-navigation-and-display-commands/04-navigation-and-display-commands.md	101	3190
Table	42	history command parameters	04-navigation-and-display-commands/04-navigation-and-display-commands.md	101	3198
Table	43	top Command Usage	04-navigation-and-display-commands/04-navigation-and-display-commands.md	102	3228
Table	44	top command Flags	04-navigation-and-display-commands/04-navigation-and-display-commands.md	102	3237
Table	45	tree Command Usage	04-navigation-and-display-commands/04-navigation-and-display-commands.md	104	3286
Table	46	tree command parameters	04-navigation-and-display-commands/04-navigation-and-display-commands.md	105	3296
Table	47	unalias Command Usage	04-navigation-and-display-commands/04-navigation-and-display-commands.md	108	3431
Table	48	unalias command parameters	04-navigation-and-display-commands/04-navigation-and-display-commands.md	108	3439
Table	49	up Command Usage	04-navigation-and-display-commands/04-navigation-and-display-commands.md	110	3492
Table	50	up command parameters	04-navigation-and-display-commands/04-navigation-and-display-commands.md	111	3503
Table	51	begin command parameters	05-piped-commands/05-piped-commands.md	112	3561
Table	52	display command parameters	05-piped-commands/05-piped-commands.md	113	3593
Table	53	exclude command parameters	05-piped-commands/05-piped-commands.md	115	3664
Table	54	grep command parameters	05-piped-commands/05-piped-commands.md	118	3724
Table	55	highlight command parameters	05-piped-commands/05-piped-commands.md	119	3764
Table	56	include command parameters	05-piped-commands/05-piped-commands.md	121	3825
Table	57	linenum command parameters	05-piped-commands/05-piped-commands.md	122	3864
Table	58	more command parameters	05-piped-commands/05-piped-commands.md	123	3899
Table	59	sort command parameters	05-piped-commands/05-piped-commands.md	124	3942
Table	60	until command parameters	05-piped-commands/05-piped-commands.md	125	3994
Table	61	aaa-server Command Usage	06-operation-commands/001-aaa-server.md	128	4045
Table	62	aaa-server Command Parameters	06-operation-commands/001-aaa-server.md	128	4053
Table	63	aaa-statistics Command Usage	06-operation-commands/002-aaa-statistics.md	130	4099
Table	64	aaa-statistics Command Parameters	06-operation-commands/002-aaa-statistics.md	130	4107
Table	65	access-control-list Command Usage	06-operation-commands/003-access-control-list.md	133	4145
Table	66	access-rule Command Usage	06-operation-commands/004-access-rule.md	134	4181
Table	67	access-rule Command Parameters	06-operation-commands/004-access-rule.md	134	4189
Table	68	access-rule-list Command Usage	06-operation-commands/005-access-rule-list.md	139	4243
Table	69	access-rule-list Command Parameters	06-operation-commands/005-access-rule-list.md	139	4251
Table	70	ace Command Usage	06-operation-commands/006-ace.md	142	4306
Table	71	ace Command Parameters	06-operation-commands/006-ace.md	142	4315
Table	72	acl Command Usage	06-operation-commands/007-acl.md	144	4362
Table	73	acl Command Parameters	06-operation-commands/007-acl.md	144	4370
Table	74	activate Command Usage	06-operation-commands/008-activate.md	149	4470
Table	75	activate activate-file Command Flags	06-operation-commands/008-activate.md	150	4480
Table	76	activate command parameters	06-operation-commands/008-activate.md	150	4486
Table	77	activate activate-file Command Parameters	06-operation-commands/008-activate.md	151	4503
Table	78	activate swimage command parameters	06-operation-commands/008-activate.md	151	4520
Table	79	activate database command parameters	06-operation-commands/008-activate.md	151	4530
Table	80	activate location-led command parameters	06-operation-commands/008-activate.md	151	4542
Table	81	activate eqpt-fw command parameters	06-operation-commands/008-activate.md	151	4550
Table	82	activate otdr command parameters	06-operation-commands/008-activate.md	151	4557
Table	83	activate otdr-fiber-check command parameters	06-operation-commands/008-activate.md	151	4564
Table	84	activate loopback command parameters	06-operation-commands/008-activate.md	151	4571
Table	85	activate-snapshot command usage	06-operation-commands/009-activate-snapshot.md	161	4659
Table	86	activate-snapshot Command Parameters	06-operation-commands/009-activate-snapshot.md	161	4669
Table	87	add Command Usage	06-operation-commands/010-add.md	163	4712
Table	88	add Command Flags	06-operation-commands/010-add.md	164	4722
Table	89	add Command Parameters	06-operation-commands/010-add.md	164	4731
Table	90	add Command Entities	06-operation-commands/010-add.md	164	4741
Table	91	additional-key-exchange Command Usage	06-operation-commands/011-additional-key-exchange.md	171	4861
Table	92	additional-key-exchange Command Parameters	06-operation-commands/011-additional-key-exchange.md	171	4869
Table	93	adg Command Usage	06-operation-commands/012-adg.md	173	4911
Table	94	adg Command Parameters	06-operation-commands/012-adg.md	173	4919
Table	95	advanced-parameter Command Usage	06-operation-commands/013-advanced-parameter.md	175	4960
Table	96	advanced-parameter Command Parameters	06-operation-commands/013-advanced-parameter.md	176	4970
Table	97	alarm Command Usage	06-operation-commands/014-alarm.md	178	5051
Table	98	alarm Command Flags	06-operation-commands/014-alarm.md	178	5059
Table	99	alarm Command Parameters	06-operation-commands/014-alarm.md	178	5065
Table	100	alarm-control Command Usage	06-operation-commands/015-alarm-control.md	182	5116
Table	101	alarm-control Command Parameters	06-operation-commands/015-alarm-control.md	182	5124
Table	102	alarm-inventory Command Usage	06-operation-commands/016-alarm-inventory.md	184	5168
Table	103	alarm-inventory Command Parameters	06-operation-commands/016-alarm-inventory.md	184	5176
Table	104	alarm-severity-entry Command Usage	06-operation-commands/017-alarm-severity-entry.md	186	5214
Table	105	alarm-severity-entry Command Parameters	06-operation-commands/017-alarm-severity-entry.md	186	5222
Table	106	alarm-severity-profile Command Usage	06-operation-commands/018-alarm-severity-profile.md	189	5280
Table	107	alarm-severity-profile Command Parameters	06-operation-commands/018-alarm-severity-profile.md	189	5288
Table	108	amplifier Command Usage	06-operation-commands/019-amplifier.md	191	5332
Table	109	amplifier Command Parameters	06-operation-commands/019-amplifier.md	192	5342
